Uuid,Fully specified name:en,Short name:en,Void/Retire,Description:en,Data class,Data type,Members,Answers,_version:1,_order:930
790d3428-de49-4842-aa83-b74eb092652a,Child Under Five,Child Under Five,,,Misc,N/A,,,,
59f3fd12-780f-4da0-944f-dd653b0b111e,Prisoner,Prisoner,,,Misc,N/A,,,,
07394d69-fb06-4b97-bd80-40cf74346141,exemption,Exemption,,,Misc,Coded,,"Child Under Five;
Prisoner;",,
